Tamaño,Algoritmo,Desv,Tiempo
25,Random,6.73738,0.367359
25,Greedy,156.02,0.000137556
25,RandLS,55.6383,0.000236601
25,HeurLS,58.825,0.000293633
50,Random,166.658,0.964056
50,Greedy,823.397,0.00103694
50,RandLS,353.609,0.00169189
50,HeurLS,394.872,0.00350933
100,Random,313.4,2.5548
100,Greedy,357.135,0.0108065
100,RandLS,189.474,0.0147577
100,HeurLS,211.401,0.0385753
125,Random,395.534,3.51377
125,Greedy,264.717,0.023072
125,RandLS,171.106,0.0320957
125,HeurLS,159.131,0.0709178
150,Random,379.475,4.73457
150,Greedy,233.22,0.0478309
150,RandLS,141.123,0.0684996
150,HeurLS,158.24,0.137663
